nome,f1-score,indice jaccard,precision,dice,aji,best_loss,training_time,epochs_run
U-Net,0.7379008531570435,0.6027199625968933,0.7412826418876648,2.0813026428222656,0.8393456534719494,0.6196382641792297,2128.3778972625732,88
PSPNet,0.7367855310440063,0.6007651090621948,0.742588996887207,2.0514626502990723,0.8308277056269656,0.6377608180046082,1639.0978021621704,70
LinkNet,0.7096036672592163,0.5737267732620239,0.7225935459136963,2.091984987258911,0.8389235994869267,0.605242908000946,2154.8802995681763,91
DeepLabV3,0.7416383624076843,0.6047865152359009,0.7485716938972473,2.1221182346343994,0.8579801543149685,0.6025205850601196,1881.0375392436981,76
