nome,f1-score,indice jaccard,precision,dice,aji,best_loss,training_time,epochs_run
U-Net,0.8317332625389099,0.7242964506149292,0.8239925146102905,1.6454343795776367,0.7638016162731309,0.43737291395664213,1319.4162065982819,57
PSPNet,0.807021975517273,0.6921508193016053,0.7971759676933289,1.6288034200668335,0.7378824635733778,0.4007570415735245,1223.4313380718231,54
LinkNet,0.73736172914505,0.6249232769012452,0.7931740403175354,1.653725028038025,0.6818921411322861,0.43922204375267027,1586.0779783725739,69
DeepLabV3,0.8058701753616333,0.6926442384719849,0.8015389442443848,1.6208041191101075,0.7284179543373215,0.4604621887207031,1399.796273946762,58
