nome,f1-score,indice jaccard,precision,best_loss,training_time
U-Net,0.6934345662593842,0.5859946191310883,0.7342425882816315,0.4355319313704967,242.0059072971344
PSPNet,0.7192918956279755,0.6120868444442749,0.7560982763767242,0.43600462302565574,240.77139544487
LinkNet,0.710085141658783,0.5936911076307296,0.7339070856571197,0.44228972867131233,243.45957446098328
DeepLabV3,0.703871750831604,0.5794937252998352,0.7219950497150421,0.48078083246946335,248.41107511520386
