nome,f1-score,indice jaccard,precision,dice,aji,best_loss,training_time,epochs_run
U-Net,0.7536984205245971,0.624690055847168,0.7622318387031555,2.059603786468506,0.8462260228624944,0.649236387014389,1977.4617505073547,84
PSPNet,0.7424749255180358,0.6089376091957093,0.7464081287384033,2.029372453689575,0.8208652473664717,0.6172893822193146,1204.2849950790405,53
LinkNet,0.7648759484291077,0.6370254755020142,0.7659794688224792,2.0719610691070556,0.8496451831140602,0.6190177083015442,1873.7541036605835,81
DeepLabV3,0.7634701013565064,0.6337083339691162,0.7625926494598388,2.0711886882781982,0.8484480014970492,0.6118391811847687,1550.9578058719635,64
